                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.58415,                0.41938,                0.98822,                0.96774,                0.98837,                0.99343,                0.82899,                0.70532,                 0.3977,                0.95854,               0.000713,               0.000713,               0.000713
                     67,                0.57866,                0.42226,                 1.0018,                 0.9867,                0.97674,                0.99391,                0.82311,                 0.7319,                0.39185,                0.96497,              0.0006932,              0.0006932,              0.0006932
                     68,                0.57845,                0.40015,                0.99466,                0.98627,                0.97674,                 0.9939,                0.84122,                0.70899,                0.41144,                0.95641,              0.0006734,              0.0006734,              0.0006734
                     69,                0.59623,                0.39937,                0.98516,                  0.977,                0.98769,                0.99301,                0.83119,                0.75427,                0.41519,                0.96099,              0.0006536,              0.0006536,              0.0006536
                     70,                0.62364,                0.45097,                 1.0014,                0.98271,                0.99158,                0.99477,                0.83452,                0.69575,                0.38504,                0.94064,              0.0006338,              0.0006338,              0.0006338
                     71,                0.54776,                0.42244,                0.98053,                0.98837,                0.98821,                0.99477,                0.83274,                0.70952,                0.39145,                0.95007,               0.000614,               0.000614,               0.000614
                     72,                0.56845,                0.40571,                0.97597,                0.98805,                      1,                0.99483,                0.84475,                0.66339,                0.36784,                 0.9263,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.5403,                0.38601,                0.96379,                 0.9941,                 0.9801,                0.99471,                0.83998,                0.68496,                 0.3936,                0.93334,              0.0005744,              0.0005744,              0.0005744
                     74,                0.52746,                0.38239,                0.97077,                0.98636,                0.98256,                0.99459,                0.84302,                0.66269,                 0.3949,                0.92651,              0.0005546,              0.0005546,              0.0005546
                     75,                0.60299,                0.40872,                 1.0085,                      1,                0.99383,                  0.995,                0.84248,                 0.6746,                0.37829,                0.92923,              0.0005348,              0.0005348,              0.0005348
                     76,                0.58573,                 0.4097,                0.99759,                 0.9969,                0.99419,                  0.995,                0.85589,                0.65426,                0.36022,                0.92386,               0.000515,               0.000515,               0.000515
